elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
25.002,0.7156,51.7883,115.5274,98.9282,0.608,86.2172,111.091,110.6238
25.102,0.6798,51.7883,115.5274,98.9282,0.5776,86.2172,111.091,110.6238
25.202,0.6459,51.7883,115.5274,98.9282,0.5488,86.2172,111.091,110.6238
25.302,0.7162,51.5709,115.7333,98.8582,0.5979,86.3066,111.137,110.7796
25.402,0.6804,51.5709,115.7333,98.8582,0.568,86.3066,111.137,110.7796
25.502,0.6804,51.5709,115.7333,98.8582,0.568,86.3066,111.137,110.7796
25.602,0.7316,51.3667,115.9373,98.8239,0.6077,86.4248,111.1514,110.9464
25.702,0.695,51.3667,115.9373,98.8239,0.5773,86.4248,111.1514,110.9464
25.803,0.6603,51.3667,115.9373,98.8239,0.5484,86.4248,111.1514,110.9464
25.902,0.7281,51.1776,116.1395,98.8302,0.607,86.572,111.1257,111.1169
26.002,0.6917,51.1776,116.1395,98.8302,0.5766,86.572,111.1257,111.1169
26.102,0.6571,51.1776,116.1395,98.8302,0.5478,86.572,111.1257,111.1169
26.202,0.7261,50.9976,116.3409,98.8619,0.5976,86.7205,111.0635,111.2587
26.302,0.6898,50.9976,116.3409,98.8619,0.5677,86.7205,111.0635,111.2587
26.402,0.6898,50.9976,116.3409,98.8619,0.5677,86.7205,111.0635,111.2587
26.502,0.6225,50.9976,116.3409,98.8619,0.5124,86.7205,111.0635,111.2587
26.602,0.6871,50.83,116.5301,98.8961,0.5273,86.802,111.0154,111.3247
26.702,0.6527,50.83,116.5301,98.8961,0.501,86.802,111.0154,111.3247
26.802,0.6201,50.83,116.5301,98.8961,0.4759,86.802,111.0154,111.3247
26.902,0.6773,50.67,116.7064,98.9153,0.4637,86.7807,111.0218,111.3023
27.002,0.6435,50.67,116.7064,98.9153,0.4405,86.7807,111.0218,111.3023
27.102,0.6113,50.67,116.7064,98.9153,0.4185,86.7807,111.0218,111.3023
27.202,0.6778,50.4727,116.9136,98.9099,0.4436,86.8439,110.9237,111.3025
27.302,0.6778,50.4727,116.9136,98.9099,0.4436,86.8439,110.9237,111.3025
27.402,0.6117,50.4727,116.9136,98.9099,0.4004,86.8439,110.9237,111.3025
27.502,0.6869,50.2651,117.1233,98.8802,0.4824,86.9905,110.7206,111.3231
27.602,0.6526,50.2651,117.1233,98.8802,0.4583,86.9905,110.7206,111.3231
27.702,0.62,50.2651,117.1233,98.8802,0.4353,86.9905,110.7206,111.3231
27.802,0.62,50.2651,117.1233,98.8802,0.4353,86.9905,110.7206,111.3231
27.902,0.6479,50.0532,117.3216,98.8057,0.48,87.1202,110.5124,111.317
28.002,0.6156,50.0532,117.3216,98.8057,0.456,87.1202,110.5124,111.317
28.102,0.5848,50.0532,117.3216,98.8057,0.4332,87.1202,110.5124,111.317
28.202,0.6619,49.8445,117.5015,98.6881,0.5181,87.2045,110.3064,111.253
28.302,0.6619,49.8445,117.5015,98.6881,0.5181,87.2045,110.3064,111.253
28.402,0.5974,49.8445,117.5015,98.6881,0.4676,87.2045,110.3064,111.253
28.502,0.5675,49.8445,117.5015,98.6881,0.4442,87.2045,110.3064,111.253
28.602,0.6477,49.6464,117.6592,98.5389,0.5257,87.2376,110.1287,111.1452
28.702,0.6153,49.6464,117.6592,98.5389,0.4995,87.2376,110.1287,111.1452
28.802,0.6153,49.6464,117.6592,98.5389,0.4995,87.2376,110.1287,111.1452
28.902,0.6777,49.4727,117.7821,98.3636,0.558,87.2177,109.9998,111.0087
29.002,0.6438,49.4727,117.7821,98.3636,0.5301,87.2177,109.9998,111.0087
29.102,0.6116,49.4727,117.7821,98.3636,0.5036,87.2177,109.9998,111.0087
29.202,0.6885,49.3117,117.8795,98.1522,0.5688,87.1493,109.905,110.8371
29.302,0.6885,49.3117,117.8795,98.1522,0.5688,87.1493,109.905,110.8371
29.402,0.6214,49.3117,117.8795,98.1522,0.5133,87.1493,109.905,110.8371
29.502,0.5903,49.3117,117.8795,98.1522,0.4876,87.1493,109.905,110.8371
29.602,0.6749,49.1723,117.9533,97.9368,0.5604,87.0456,109.8483,110.6513
29.702,0.6412,49.1723,117.9533,97.9368,0.5323,87.0456,109.8483,110.6513
29.802,0.6091,49.1723,117.9533,97.9368,0.5057,87.0456,109.8483,110.6513
29.902,0.6091,49.1723,117.9533,97.9368,0.5057,87.0456,109.8483,110.6513
30.002,0.6465,49.0118,118.0529,97.7295,0.5412,86.9176,109.8142,110.4524
30.102,0.6141,49.0118,118.0529,97.7295,0.5141,86.9176,109.8142,110.4524
30.202,0.692,48.8334,118.1823,97.5536,0.5849,86.7547,109.8403,110.2592
30.302,0.6574,48.8334,118.1823,97.5536,0.5556,86.7547,109.8403,110.2592
30.402,0.6245,48.8334,118.1823,97.5536,0.5278,86.7547,109.8403,110.2592
30.502,0.5933,48.8334,118.1823,97.5536,0.5014,86.7547,109.8403,110.2592
30.602,0.6713,48.6401,118.3399,97.4147,0.5234,86.69,109.8336,110.1677
30.702,0.6378,48.6401,118.3399,97.4147,0.4972,86.69,109.8336,110.1677
30.802,0.6059,48.6401,118.3399,97.4147,0.4724,86.69,109.8336,110.1677
30.902,0.6059,48.6401,118.3399,97.4147,0.4724,86.69,109.8336,110.1677
31.002,0.6331,48.4425,118.5161,97.318,0.441,86.6572,109.8476,110.1365
31.102,0.6014,48.4425,118.5161,97.318,0.419,86.6572,109.8476,110.1365
31.202,0.6782,48.4425,118.7208,97.2547,0.4554,86.6572,109.9327,110.0586
31.302,0.6443,48.2283,118.7208,97.2547,0.4326,86.5427,109.9327,110.0586
31.402,0.612,48.2283,118.7208,97.2547,0.411,86.5427,109.9327,110.0586
31.502,0.5814,48.2283,118.7208,97.2547,0.3904,86.5427,109.9327,110.0586
31.602,0.6713,47.9794,118.9664,97.205,0.4377,86.4072,110.0522,109.983
