"Step","Feb12_03-32-08_PPO - Reward / Total reward (mean)","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MIN","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MAX"
"9335","-0.2703408","-0.2703408","-0.2703408"
"9347","-0.42628807","-0.42628807","-0.42628807"
"9372","-0.545997","-0.545997","-0.545997"
"9392","-0.41367912","-0.41367912","-0.41367912"
"9412","-0.4100764","-0.4100764","-0.4100764"
"9429","-0.47807235","-0.47807235","-0.47807235"
"9449","-0.37912515","-0.37912515","-0.37912515"
"9469","-0.5995515","-0.5995515","-0.5995515"
"9486","-0.50176376","-0.50176376","-0.50176376"
"9498","-0.4344615","-0.4344615","-0.4344615"
"9526","0.0854133","0.0854133","0.0854133"
"9543","-0.29195917","-0.29195917","-0.29195917"
"9563","-0.2494732","-0.2494732","-0.2494732"
"9583","-0.6643898","-0.6643898","-0.6643898"
"9600","0.33498558","0.33498558","0.33498558"
"9620","-0.46621847","-0.46621847","-0.46621847"
"9640","-0.27410477","-0.27410477","-0.27410477"
"9657","-0.38896635","-0.38896635","-0.38896635"
"9677","-0.40371847","-0.40371847","-0.40371847"
"9697","-0.4223366","-0.4223366","-0.4223366"
"9706","-0.30918774","-0.30918774","-0.30918774"
"9734","-0.2519547","-0.2519547","-0.2519547"
"9754","-0.2878661","-0.2878661","-0.2878661"
"9771","-0.30868566","-0.30868566","-0.30868566"
"9791","-0.16914953","-0.16914953","-0.16914953"
"9811","-0.35574296","-0.35574296","-0.35574296"
"9828","-0.31927943","-0.31927943","-0.31927943"
"9848","-0.32424417","-0.32424417","-0.32424417"
"9868","-0.1617057","-0.1617057","-0.1617057"
"9885","-0.31116018","-0.31116018","-0.31116018"
"9905","-0.18565804","-0.18565804","-0.18565804"
"9925","0.035496116","0.035496116","0.035496116"
"9934","-0.35651615","-0.35651615","-0.35651615"
"9962","0.00092324696","0.00092324696","0.00092324696"
"9974","-0.25492018","-0.25492018","-0.25492018"
"9999","-0.13399154","-0.13399154","-0.13399154"
"10019","0.03416237","0.03416237","0.03416237"
"10039","-0.35291478","-0.35291478","-0.35291478"
"10056","-0.3099191","-0.3099191","-0.3099191"
